step,t_s,target_x,target_y,target_yaw,yaw_error,yaw_correction,truth_px,truth_py,truth_pz,truth_vx,truth_vy,truth_vz,truth_qw,truth_qx,truth_qy,truth_qz,truth_roll,truth_pitch,truth_yaw,truth_wx,truth_wy,truth_wz,imu_ax,imu_ay,imu_az,imu_acc_norm,imu_gx,imu_gy,imu_gz,imu_gyro_norm,vio_px,vio_py,vio_pz,vio_vx,vio_vy,vio_vz,vio_qw,vio_qx,vio_qy,vio_qz,pos_err_x,pos_err_y,pos_err_z,pos_err_norm,vel_err_x,vel_err_y,vel_err_z,vel_err_norm,orientation_err_rad,odom_age_s,drained_callbacks
0,0.01,-4.0,1.6011310333130524e-10,4.350018006894158e-11,-9.157196730258368e-19,1.6938436619855695e-12,-3.9999923706054688,8.749083463044371e-06,2.0661306381225586,0.0014138268306851387,0.0016338084824383259,-0.048263534903526306,0.999999988676229,-6.904349326323451e-05,4.7104359055586365e-05,0.0001251467825963708,-0.00013807519609652084,9.422599832588852e-05,0.0002502870615837196,-0.01739981211721897,0.011912388727068901,0.03086710162460804,0.10830222070217133,0.12530525028705597,9.888591766357422,9.889978660160512,-0.017399819567799568,0.011912389658391476,0.030867109075188637,0.037382310937459785,,,,,,,,,,,,,,,,,,,,,
1,0.02,-4.0,1.6011310333130524e-10,4.350018006894158e-11,0.00025028701945397757,-0.0009410302699054798,-3.999976634979248,2.7424737709225155e-05,2.06565260887146,0.0015413848450407386,0.0017803516238927841,-0.04747479781508446,0.99999992176395,-0.0001683608293363766,0.00011281855249324885,0.0003397038406348492,-0.00033664499747482364,0.0002257514748917408,0.0006793697092367496,-0.020377114415168762,0.013085619546473026,0.05067458748817444,-0.051331233233213425,-0.06038860231637955,9.888870239257812,9.889187847729147,-0.020377114415168762,0.013085618615150452,0.05067458748817444,0.05616381418250274,,,,,,,,,,,,,,,,,,,,,
2,0.03,-4.0,1.6011310333130524e-10,4.350018006894158e-11,0.0006793697395287802,-0.00156099980901696,-3.9999663829803467,3.883544559357688e-05,2.065182685852051,0.0002624907938297838,0.0002982824807986617,-0.046681199222803116,0.9999997515568184,-0.00025445487444390453,0.00016312484349510696,0.0006368118274449007,-0.0005087019118600127,0.0003265736914877653,0.0012735407348158608,-0.014228085055947304,0.0075235385447740555,0.062120772898197174,-0.16381625831127167,-0.19038189947605133,9.88930606842041,9.892494910235333,-0.014228085987269878,0.007523540407419205,0.062120769172906876,0.06417189457820918,,,,,,,,,,,,,,,,,,,,,
3,0.04,-4.0,1.6011310333130524e-10,4.350018006894158e-11,0.0012735407364480545,-0.0019400356311327985,-3.999971389770508,3.276957431808114e-05,2.064720869064331,-0.0012287712888792157,-0.0014190851943567395,-0.045883599668741226,0.9999995061765582,-0.00029518240548159617,0.000177752533119007,0.000932157724947065,-0.0005900332042698899,0.0003560552113235233,0.001864210788354865,-0.004454666282981634,0.00027541411691345274,0.054541029036045074,-0.1262209117412567,-0.1458667665719986,9.889616966247559,9.891497994300082,-0.004454672336578369,0.0002754099841695279,0.05454104021191597,0.05472334989456961,,,,,,,,,,,,,,,,,,,,,
4,0.05,-4.0,1.6011310333130524e-10,4.350018006894158e-11,0.0018642110082246711,-0.0017480835315748324,-3.9999873638153076,1.5416611859109253e-05,2.0642669200897217,-0.0015424248995259404,-0.0017579335253685713,-0.04508531466126442,0.9999992874915266,-0.00029965848162206716,0.00016908967564701092,0.0011430791377759696,-0.0005989300406594258,0.00033886418354120364,0.0022860574307643463,0.00022294852533377707,-0.0021429057233035564,0.03470725193619728,0.02682536467909813,0.031771328300237656,9.889780044555664,9.889867458524586,0.00022294771042652428,-0.002142904093489051,0.03470725193619728,0.03477405758030182,,,,,,,,,,,,,,,,,,,,,
5,0.06,-4.0,1.6011310333130524e-10,4.350018006894158e-11,0.0022860574101023724,-0.0011783810026920606,-3.999997854232788,3.743958586710505e-06,2.0638208389282227,-0.0003640404320321977,-0.0003608370025176555,-0.044286735355854034,0.9999991397459891,-0.0003084083434066254,0.00016982513029133227,0.0012635469918564053,-0.0006163870668773516,0.00034042935184182976,0.0025269898946479255,-0.0041433521546423435,0.002294071950018406,0.020578088238835335,0.1550714522600174,0.17974306643009186,9.889993667602539,9.892842335267153,-0.004143351688981056,0.0022940721828490496,0.020578088238835335,0.02111605659122927,,,,,,,,,,,,,,,,,,,,,
6,0.07,-4.0,1.6011310333130524e-10,4.350018006894158e-11,0.002526989628832822,-0.0007689620248950294,-3.999992847442627,1.007025821309071e-05,2.063383102416992,0.0012611274141818285,0.0015510966768488288,-0.043487198650836945,0.9999989805023923,-0.00035634410433896203,0.00020307039203823956,0.0013677629440372976,-0.0007121320969856848,0.0004071151697854687,0.0027353820111867414,-0.013339330442249775,0.009434137493371964,0.02483544498682022,0.14134414494037628,0.16308918595314026,9.890111923217773,9.892466330681048,-0.0133393295109272,0.009434140287339687,0.02483544312417507,0.029727763957896898,,,,,,,,,,,,,,,,,,,,,
7,0.08,-4.0,1.6011310333130524e-10,4.350018006894158e-11,0.0027353823681287815,-0.0009091862916923335,-3.99997615814209,3.0877068638801575e-05,2.062952756881714,0.0018879084382206202,0.002299443120136857,-0.04268625006079674,0.9999986752470662,-0.00044196980018437775,0.00026210203695958893,0.0015444964650471527,-0.000883129034792575,0.0005255686452620164,0.003088762493527666,-0.01873929798603058,0.01264965906739235,0.043318405747413635,-0.0014036111533641815,-0.002376063959673047,9.890143394470215,9.890143779490115,-0.01873929612338543,0.012649659998714924,0.043318405747413635,0.04886368174606346,,,,,,,,,,,,,,,,,,,,,
8,0.09,-4.0,1.6011310333130524e-10,4.350018006894158e-11,0.0030887622416876604,-0.0014848779069236687,-3.99996018409729,5.017860894440673e-05,2.0625314712524414,0.0009911577217280865,0.0012804182479158044,-0.04188157618045807,0.999998162590411,-0.0005281551912060682,0.000315940476493754,0.0018155025505886583,-0.0010551616677811982,0.0006337975685895469,0.003630673404002897,-0.015147986821830273,0.008839571848511696,0.058923374861478806,-0.14272068440914154,-0.16526804864406586,9.890345573425293,9.892755848773087,-0.015147990547120571,0.008839570917189121,0.058923374861478806,0.06147815658168373,,,,,,,,,,,,,,,,,,,,,
9,0.1,-4.0,1.6011310333130524e-10,4.350018006894158e-11,0.0036306732364856055,-0.0019855416400335005,-3.9999592304229736,5.420739762485027e-05,2.062117099761963,-0.0005607273196801543,-0.0004901172360405326,-0.04107357934117317,0.9999975415295512,-0.0005755453861904457,0.0003372900979780185,0.0021146909352462383,-0.0011496619305600146,0.0006770127904602783,0.004228996795842604,-0.005659658461809158,0.0013971349690109491,0.05723275616765022,-0.15394291281700134,-0.17730891704559326,9.890499114990234,9.893286087852362,-0.00565965985879302,0.0013971359003335238,0.05723275616765022,0.05752888072079047,,,,,,,,,,,,,,,,,,,,,
