checkpoint,checkpoint_sha256,code_revision,oracle_gate_relative_guidance,sampling_protocol,profile,seed,episode,completed,first_lap_completed,lap_time_s,failure_gate,gates_passed,collision,flyaway,return,duration_s,position_rmse_m,attitude_rmse_rad,velocity_rmse_mps
/home/donglei/isaac_projects/isaac_drone_racer/.worktrees/stage1-fake-vio/logs/skrl/stage1_recovery_20260905/2026-09-05_11-37-52/2026-09-05_11-37-57_ppo_torch_stage1_mixed/checkpoints/agent_50400.pt,8358d49b14eff681c47b70db964f4007dbfd07e9212768e13dbf0c17f0afc8d8,150d107225160ac498040fa20d4ccf9e26ec2703,True,fixed_per_environment_quotas_v2,clean,11,0,False,False,,3,0,True,False,-4.945273399353027,0.3,0.0,0.00037822104059159756,0.0
/home/donglei/isaac_projects/isaac_drone_racer/.worktrees/stage1-fake-vio/logs/skrl/stage1_recovery_20260905/2026-09-05_11-37-52/2026-09-05_11-37-57_ppo_torch_stage1_mixed/checkpoints/agent_50400.pt,8358d49b14eff681c47b70db964f4007dbfd07e9212768e13dbf0c17f0afc8d8,150d107225160ac498040fa20d4ccf9e26ec2703,True,fixed_per_environment_quotas_v2,clean,11,1,False,False,,7,0,True,False,-3.8630728721618652,0.8,0.0,0.00028887108783237636,0.0
/home/donglei/isaac_projects/isaac_drone_racer/.worktrees/stage1-fake-vio/logs/skrl/stage1_recovery_20260905/2026-09-05_11-37-52/2026-09-05_11-37-57_ppo_torch_stage1_mixed/checkpoints/agent_50400.pt,8358d49b14eff681c47b70db964f4007dbfd07e9212768e13dbf0c17f0afc8d8,150d107225160ac498040fa20d4ccf9e26ec2703,True,fixed_per_environment_quotas_v2,clean,11,2,False,False,,7,0,True,False,-4.058919906616211,0.8300000000000001,0.0,0.000293556455289945,0.0
/home/donglei/isaac_projects/isaac_drone_racer/.worktrees/stage1-fake-vio/logs/skrl/stage1_recovery_20260905/2026-09-05_11-37-52/2026-09-05_11-37-57_ppo_torch_stage1_mixed/checkpoints/agent_50400.pt,8358d49b14eff681c47b70db964f4007dbfd07e9212768e13dbf0c17f0afc8d8,150d107225160ac498040fa20d4ccf9e26ec2703,True,fixed_per_environment_quotas_v2,clean,11,3,False,False,,7,0,True,False,-3.8705315589904785,0.84,0.0,0.00018455296230968088,0.0
/home/donglei/isaac_projects/isaac_drone_racer/.worktrees/stage1-fake-vio/logs/skrl/stage1_recovery_20260905/2026-09-05_11-37-52/2026-09-05_11-37-57_ppo_torch_stage1_mixed/checkpoints/agent_50400.pt,8358d49b14eff681c47b70db964f4007dbfd07e9212768e13dbf0c17f0afc8d8,150d107225160ac498040fa20d4ccf9e26ec2703,True,fixed_per_environment_quotas_v2,clean,11,4,False,False,,7,0,True,False,-3.86598539352417,0.89,0.0,0.0002639135636854917,0.0
/home/donglei/isaac_projects/isaac_drone_racer/.worktrees/stage1-fake-vio/logs/skrl/stage1_recovery_20260905/2026-09-05_11-37-52/2026-09-05_11-37-57_ppo_torch_stage1_mixed/checkpoints/agent_50400.pt,8358d49b14eff681c47b70db964f4007dbfd07e9212768e13dbf0c17f0afc8d8,150d107225160ac498040fa20d4ccf9e26ec2703,True,fixed_per_environment_quotas_v2,clean,11,5,False,False,,2,1,True,False,0.5185718536376953,1.02,0.0,0.0003133246791549027,0.0
/home/donglei/isaac_projects/isaac_drone_racer/.worktrees/stage1-fake-vio/logs/skrl/stage1_recovery_20260905/2026-09-05_11-37-52/2026-09-05_11-37-57_ppo_torch_stage1_mixed/checkpoints/agent_50400.pt,8358d49b14eff681c47b70db964f4007dbfd07e9212768e13dbf0c17f0afc8d8,150d107225160ac498040fa20d4ccf9e26ec2703,True,fixed_per_environment_quotas_v2,clean,11,6,False,False,,2,1,True,False,0.5515861511230469,1.05,0.0,0.0003369460755493492,0.0
/home/donglei/isaac_projects/isaac_drone_racer/.worktrees/stage1-fake-vio/logs/skrl/stage1_recovery_20260905/2026-09-05_11-37-52/2026-09-05_11-37-57_ppo_torch_stage1_mixed/checkpoints/agent_50400.pt,8358d49b14eff681c47b70db964f4007dbfd07e9212768e13dbf0c17f0afc8d8,150d107225160ac498040fa20d4ccf9e26ec2703,True,fixed_per_environment_quotas_v2,clean,11,7,False,False,,6,1,True,False,-0.16839265823364258,1.09,0.0,0.00028061316697858274,0.0
/home/donglei/isaac_projects/isaac_drone_racer/.worktrees/stage1-fake-vio/logs/skrl/stage1_recovery_20260905/2026-09-05_11-37-52/2026-09-05_11-37-57_ppo_torch_stage1_mixed/checkpoints/agent_50400.pt,8358d49b14eff681c47b70db964f4007dbfd07e9212768e13dbf0c17f0afc8d8,150d107225160ac498040fa20d4ccf9e26ec2703,True,fixed_per_environment_quotas_v2,clean,11,8,False,False,,2,1,True,False,0.7355766296386719,1.27,0.0,0.00033561690361239016,0.0
/home/donglei/isaac_projects/isaac_drone_racer/.worktrees/stage1-fake-vio/logs/skrl/stage1_recovery_20260905/2026-09-05_11-37-52/2026-09-05_11-37-57_ppo_torch_stage1_mixed/checkpoints/agent_50400.pt,8358d49b14eff681c47b70db964f4007dbfd07e9212768e13dbf0c17f0afc8d8,150d107225160ac498040fa20d4ccf9e26ec2703,True,fixed_per_environment_quotas_v2,clean,11,9,False,False,,2,1,True,False,0.3652653694152832,1.44,0.0,0.000330567971104756,0.0
